Player,Image,Eliminated
Sam,https://ew.com/thmb/9uiaNyiHQhCaLg2nJO6Ih81Bnmk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/SAM-PHALEN-083024-729e1b758a784997973589601cff587b.jpg,
Sierra,https://ew.com/thmb/JsQ9qx_qaRAqoRHeMy5I0otLX60=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/SIERRA-WRIGHT-083024-f5f6363d0c8241da91518cc8f71a3b3b.jpg,Yes
Genevieve,https://ew.com/thmb/t1mrS1fWwpfu8F4HnB9RTLaCwBw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GENEVIEVE-MUSHALUK-083024-b7eb811ae0d54d8b82570a9005ea40ce.jpg,
Sue,https://ew.com/thmb/KJbUbA0B7dzRLKr3-8KEs1HE6l8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/SUE-SMEY-083024-b58366093b8049968b84d22633e46160.jpg,
Caroline,https://ew.com/thmb/AEkMm9hz1f-AGsHz8TrnzBGp4gA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/CAROLINE-VIDMAR-083024-556a1910c2544f8b83c17bc77bd15f44.jpg,Yes
Kyle,https://ew.com/thmb/jhf-vD412QaZnbg8DGjnd3yWOyg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/KYLE-RHEN-083024-4ea310894beb4bb4aee0c6749dc90ea0.jpg,Yes
Rome,https://ew.com/thmb/WIIB9ExKsoDwAosD0mRbnh9ZcS0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/ROME-COONEY-083024-a4bc9220498e4c3a9195c9f7a426a86d.jpg,Yes
Sol,https://ew.com/thmb/jUvtyU7l7q1p8dU_GQgiwVAgYS4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/SOLOMON-YI-083024-80fdca146c7347f1b1e16abe233d2538.jpg,Yes
Anika,https://ew.com/thmb/gj3dlPjFG3BuoifelYu9eKvOOd4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/ANIKA-DHAR-083024-65b2e810b5ba4d39a870f3b56f30d1ec.jpg,Yes
Kishan,https://ew.com/thmb/hB7cl7uvXzJqFVTDuOAX3m0A02Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/KISHAN-PATEL-083024-2904e13b57174cc1a4b025ab5f66e891.jpg,Yes
Teeny,https://ew.com/thmb/vxPyiuCfp7b3m59tdLMFXSKPr2w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/TEENY-CHIRICHILLO-083024-2be8b99322974d05b537dd59405867d4.jpg,
Rachel,https://ew.com/thmb/tv_ZwR9_18FSFrJGMhn9X_SMHUw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/RACHEL-LAMONT-083024-162d2080367f494aaa0b020c9b72c726.jpg,
Andy,https://ew.com/thmb/_PP7enMlLSI7c0RBf1m8zG1lnDs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/ANDY-RUEDA-083024-8026e1c2795d47228997a44b77f780f7.jpg,
Gabe,https://ew.com/thmb/knhUaJZ5wJp1P6oOUE405v0IOVI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GABE-ORTIS-083024-4704202fa73a454295797a44eb69b1b8.jpg,Yes
Tiyana,https://ew.com/thmb/Uv6AYHgwkcdQkhJWYdu55ElsiNw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/TIYANA-HALLUMS-083024-fc550af3d17b46dbb9e6b946cc0a064f.jpg,Yes
TK,https://ew.com/thmb/jfqAg4kyi1L-RoGNr6oVQYCjgaE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/TERRAN-FOSTER-083024-6fb83176176a4adaadc15b9491e54185.jpg,Yes
Jon,https://ew.com/thmb/BhZKr78pVgR3AynEglUkRKZVfoc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/JON-LOVETT-083024-632e2e1e641e416bace895ae20d46850.jpg,Yes
Aysha,https://ew.com/thmb/vlbKTk1cm6SbM5ZQ278bY_R2s2c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/AYSHA-WELCH-083024-6490538d99a34902b325d32eaa34a768.jpg,Yes
